amount,has_sender,has_receiver,sender_transaction_count,total_amount_sent,unique_receiver_count,recent_transaction_count,label
500,1,1,1,500,1,1,0
750,1,1,2,1250,1,1,0
1200,1,1,2,1950,2,1,0
1500,1,1,3,3450,2,2,0
2000,1,1,4,5450,2,1,0
2500,1,1,3,4500,3,2,0
3000,1,1,5,7500,3,2,0
4000,1,1,4,9000,2,2,0
5000,1,1,5,12000,3,3,0
6000,1,1,6,18000,4,2,0
15000,1,1,20,85000,12,15,1
20000,1,1,25,120000,15,20,1
25000,1,1,30,180000,18,25,1
30000,1,1,35,220000,20,30,1
40000,1,1,40,300000,25,35,1
50000,1,1,45,400000,30,40,1
75000,1,1,50,550000,35,45,1
100000,1,1,60,800000,40,50,1
125000,1,1,70,1000000,45,60,1
150000,1,1,80,1300000,50,70,1
